#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sun Feb 10 01:37:27 EST 2019,11,11,Assignment2Suite,EmptyTest0+ SizeTest0+ SizeTest1+ , ,ContainsTest0- ContainsTest1- EfficiencyTest1- EmptyTest1- FindMinMaxTest0- FindMinMaxTest1- FindMinMaxTest2- HeightTest- InsertAfterRemoveTest0- InsertAfterRemoveTest1- InsertAfterRemoveTest2- InsertTest0- InsertTest1- InsertTest2- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- RemoveTest4- RemoveTest5- RemoveTest6- RemoveTest7- SizeTest2- , ,
1,Sun Feb 10 02:18:11 EST 2019,11,0,Assignment2Suite,EmptyTest0 SizeTest0 SizeTest1 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 EmptyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 , ,
2,Sun Feb 10 02:22:55 EST 2019,11,0,Assignment2Suite,EmptyTest0 SizeTest0 SizeTest1 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 EmptyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 , ,
3,Sun Feb 10 02:27:44 EST 2019,23,12,Assignment2Suite,EmptyTest0 InsertTest0+ InsertTest1+ InsertTest2+ SizeTest0 SizeTest1 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 EmptyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 , ,
4,Sun Feb 10 02:28:56 EST 2019,23,0,Assignment2Suite,EmptyTest0 InsertTest0 InsertTest1 InsertTest2 SizeTest0 SizeTest1 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 EmptyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 , ,
5,Sun Feb 10 02:38:52 EST 2019,23,0,Assignment2Suite,EmptyTest0 InsertTest0 InsertTest1 InsertTest2 SizeTest0 SizeTest1 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 EmptyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 , ,
6,Sun Feb 10 02:39:41 EST 2019,23,0,Assignment2Suite,EmptyTest0 InsertTest0 InsertTest1 InsertTest2 SizeTest0 SizeTest1 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 EmptyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 , ,
7,Sun Feb 10 02:53:02 EST 2019,26,3,Assignment2Suite,EmptyTest0 HeightTest+ InsertTest0 InsertTest1 InsertTest2 SizeTest0 SizeTest1 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 EmptyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 , ,
8,Sun Feb 10 03:37:09 EST 2019,26,0,Assignment2Suite,EmptyTest0 HeightTest InsertTest0 InsertTest1 InsertTest2 SizeTest0 SizeTest1 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 EmptyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 , ,
9,Sun Feb 10 03:40:38 EST 2019,15,-11,Assignment2Suite,EmptyTest0 InsertTest0 SizeTest0 SizeTest1 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 EmptyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest- InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest1- InsertTest2- RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 , ,
